Teks Komentar,Stance,
udh bener di UGM aja lah,Neutral,
"jurusan hukum ❎
praktek hukum ✅",Neutral,
"Ini masalah rusaknya moral, bukan hal yang sepele, Emoji tertawa sebaiknya dikurangi untuk masalah seperti ini, apalagi emoji tertawa dapat menghilangkan empati kepada para korban",Advocacy,
DO aja semuanya,Advocacy,
Usut tuntas proses hukum dan pecat mahasiswa bejat,Advocacy,
"Apakah merupakan bagian dari RITUAL SETAN klub elit di lingkungan tsb??? 

FREEMASON mmg telah lama MENANCAPKAN PENGARUH di lingkungan pendidikan. 

Mereka BERUSAHA merekrut calon2 pemimpin masa depan.",Neutral,
Pd tenang semua y mrk nanggepin pertanyaan,Neutral,
publikasikan indentitas mreka        tandai mukanya  black list smua kegiatanya         smua instansi negara dan swasta  jngn ada yg mau trima mreja kerja.    Buat efek jera kpd yg lain    b8ar negri ini tertib,Advocacy,
emg kenapa aku belum tau berita nya,Neutral,
omon2 doang,Neutral,
​@joyodiningrat9301tremor aku saking kawatir nya punya ank remaja jaman sekarang,Neutral,
aamiin yaAllah 🤲,Neutral,
kasus pelecehan di fhui kak,Neutral,
​@farizghifari4456ah percumalah ngomong kawal kiwil motor mbg. Semua yg terkait mbg sudah diamankan. Mbg yg jelas2 ngaco sudah lebih setahun lancar jaya.,Neutral,
Pecat ini UI universitas yang digadang gadang bagus,Advocacy,
menjaminlah,Neutral,
dih 🤣 fix bkn ank itb 🤣🤣,Neutral,
ada rekaman live kemarin ga si?,Neutral,
"yg cepuan juga pelaku kocak, itu juga dia ngespill krna ketauan dan dipaksa pacarnya. tetap aja ujungnya wanita yg melindungi wanita. dan inget para pelaku minta maaf krna ketauan, bukan krna merasa salah dan menyesal.",Supportive,
"korban nya emang siapa aja kakak? maaf nanya, soalnya ga tau apa2",Neutral,
"gw ga fokus sama kasus nya,tapi lebih fokus sama si abang yg ngomong nya, pinter banget jirrr cara ngomongnya 🥰🥰",Neutral,
iya kak kecewa sama jarwo,Neutral,
duhhhh emane tinggal setahun,Neutral,
"ui di ganti lah jadi udjgbl
biar makin panjang",Neutral,
kasus pelecehan,Neutral,
Baru jadi pejabat dilingkungan kampus udh berani mesum ga takut hukum gmn kl udh jadi pejabat pemerintahan parah ????!!!,Advocacy,
"itua ber, sedih bgt",Supportive,
p4l4c4han kk,Neutral,
"@be happy forever: ternyata bener yaa, pendidikan tidak menentukan pola pikir manusia.",Neutral,
Ustad-ustad dan Gus juga banyak yg moralnya aneh😅,Neutral,
apa susahny di baca bg,Neutral,
ga terlalu gitu tapi termasuknya tetep ikut nimbrung kak dan ga berusaha ngingetin atau berhentiin temen” nya kalo itu salah,Neutral,
Betuuulll.. mukanya kliatan baik dan kalem tp kelakuannya bejat.. hiihh.. serem,Supportive,
semalem ngelewat terus live nya kirain lagi kumpulan mahasiswa😭😭,Neutral,
*Indonesia Indonesia.*,Neutral,
Andovi yang ngomong tapi gw yang hah heh hoh,Neutral,
"ada kakak yg emosinya mewakili up vt kak, harusnya you'll see in ur fyp very soon 😭",Neutral,
kk ny danu asisten dosen fh ui...,Neutral,
"BLACKLIST UI..
KASUS MAHASISWA TENGGELAM AJA, GAK JELAS.
MASA DI UI GAK ADA CCTV",Advocacy,
dari banyaknya hal di dunia ini mereka cuma fokus ke selangkangan doang,Neutral,
iyhh ihkk knp iniii,Neutral,
Ya elaaah ke arab luu gak usah di Indonesia,Neutral,
itu mereka chatan di grup? gmn bisa kerajaan? aku kurang tau ceritanya😁🙏,Neutral,
"Hancur UI  
Astagfirullah hal Adzim",Advocacy,
"byk gunanya salah satunya bisa menghukum yg benar,membela yg salah.atau berlomba2 masuk parpol,JD penguasa,trus ngerampok",Neutral,
INDONESIA CEMAS,Neutral,
itu paling cuma ekor ekor ny doang wwkkww. anggota inti BEM UI nya gak ada yg nongol,Neutral,
Bodo amat malah fokus ke itu,Neutral,
Ngomong apa si?,Neutral,
ada apa ??,Neutral,
maaf nya tidak tulus tuh,Advocacy,
"iya yg cukup transparan sama kasus SA masih ui. kampus PTN lain malah masi melindungi pelaku dan menghukum korban, sedih tp kenyataannya begitu",Advocacy,
Buat bisa masuk kantor dpr sih kebanyakannya,Neutral,
"ipb juga barusan pada speakup tuh kak, sama parahnya juga anjir",Advocacy,
Do itu apa ka,Neutral,
"ohhh, ok thx infonya👍",Neutral,
Jawabannya sama semua minta maaf atas kesalahan tapi kagada yg mau sebutih kesalahan detailnyaaa bjir🤣🤣🤣 sampai jam 4 gw nonton,Advocacy,
"​@BayuWirgiawan-vn1xwdulu rektor UI komisaris BRI. Mulyono yg ngangkat. Loe dach, 😅",Neutral,
"gada dosen dalam group tsb,yg ada dosennya jadi korban pembahasan mereka",Neutral,
lagi sibuk ngirim proposal buat gerakin demo politik,Neutral,
"pertanyaan yg sangat dungu. ibarat kata suami mau pindah kewarganegaraan, trus tiap hari lihat kasus berita pelecehan. apakah setelah lihat itu dia masih mau pindah kewarganegaraan?",Advocacy,
"di DO truz diproses hukum seadily adily tnp mndang spapun jbtan diblkangy...hrus tranfaran hukum berlaku biar jera, jujur,ak sbgai ortu dri dlu blm bsa msuk UI mga ankk tpi dgn kasus ini,ak g mau masukin ankk dikmpus ini.",Advocacy,
"@ihwatiriskiya8947 Jurusan ape dulu? kalau jurusan pasaran, anak saya juga mampu. Skrg dia kuliah di kampus lain IPK nya tinggi dapat beasiswa, sekarang jadi Asdos.",Neutral,
tausa ragukan me dong lolos maso UI tu😔,Neutral,
antemono kakk,Neutral,
"jdi mreka itu kyk ada grup chat gitu nahh di dalem grupnya itu merka sering ngomongin cewek"" pake kata"" melecehkan gitu loh. dosennya juga diomongin",Neutral,
"Ada yang infokan nama-nama mereka (RanaFilm)
SAY THE NAME PELECEHAN
1. Simon Patrich Bungaran Pangaribuan
2. Muhammad Valenza Rabbani Putra Harisman
3. Irfan Khalis
4. Munif Taufik
5. Keona Ezra Pangestu
6. Dipatya Saka Wisesa
7. Muhammad Ahsan Raikel Pharrel
8. Mohammad Deyca Putratama
9. Danu Priambodo
10. Reynan Fayyaz Rizal
11. Muhammad Nasywan Azizullah
12. Muhammad Kevin Ardiansyah
13. Rafi Muhammad
14. Nadhil Zahran Fernandi
15. Anargya Hay Fausta Gitaya",Advocacy,
"waduhhh ketinggalan, aku jam 12 udah ketiduran😭🙏",Neutral,
​@malakatan3235wajibkan yang utama mengenal ALLAH SWT dan Rasul-NYA,Neutral,
"sekolah tinggi-tinggi, calon penegak hukum tapi melanggar hukum!!! nggak merasa bersalah karena punya bekingan, dan power!! selagi ada beking dan power! hukum bisa dibawah kendali.. tumpul ke atas, lancip ke bawah.. tragissss!!!
minta maaf krna takut digebukin massa sampe metong!!",Advocacy,
"Ini sama ajA KASUsnya sama anak Undip yg bunuh diri itu,, Timothy kalo ga salah.....JD satu grup lagi ngomongin kasus Timothy dan dalam grup kan banyak banget membernya,,, JD ada yg jahat yg screenshot..dan disebar .makanya mendingan left grup atau silent reader jika diinvite tp ga cocok dgn obrolannya...skrg tuh jgn bangga gaul gaulan gitu...diinvite ke grup bangganya minta ampun... Tp kita JD tau karakter orang siy...mending ga usah gaul gaulan...intinya kalo mau aman ,, 1 pilihannya: pilih silent reader atau left grup... Lagian di grup atau temen2 yg ada di grup cocok dan baik buat kita... Intinya kalo kata hati kita bilang left grup.. left grup aja deh...karena kdg kadang kita suka keceplosan siy.. tau2 ngomong si A... Sudah ngebahas sampe dalam banget..... Percakapan yg seharusnya  hanya bisa kita ungkapkan ke sahabat kita... Orang yg bisa kita percaya utk Mengeluarkan uneg2 kita ya sahabat kita... Atau kucing juga bisa... Atau nulis jurnal bersyukur dan jurnal mengeluarkan emosi... Temen Lo yg kau kira selevel, sepadan Ama elo belum tentu cocok Ama elo.. bisa jadi dia nusuk dari belakang...mulai skrg pilih2 temen.. temenmu adalah surgamu, keberuntungan dan rejekimu...dan itu temen yg baik yg sudah kita rasakan manfaatnya,,,tp jgn dimanfaatin... Yg penting Lo bahagia, tenang, damai jika berada di sisinya...",Neutral,
juicy luicy jugaaa 💔,Neutral,
"kasus kekerasan seksual mahasiswa fhui, kamu search aja",Neutral,
"kasus pelecehan mereka itu tergabung dlm group namanya basecamp (apa gitu lupa). di group trsbut chat mereka ngomongij soal cwe cwe kampus. omongan yg jorok, seronok, melecehkan wanita, bahkan dosen wanita pun mereka lecehkan. pelakunya 16 orang mahasiswa Fakultas Hukum semua. yg 2 orang turun duluan ngadepin semua mahasiswa yg ngumpul disana dr jam 5 sore ampe dini hari jelang shubuh. krn blama nungguin yg 14 orang pelakunya dilindungi/dihalangi orangtua mereka di lantai atas agar tidak turun tuk bertanggung kawab dan minta maaf. jdlah membuat semakin lama dan semakin emosi para mahasiswa/i disana",Neutral,
Diblacklist  aja ini org2 .. Gilaa kalo udah dewasa jadi apa org2 ini dengan pikiran cabul .. FH UI loh .. Kasianbanget orgtuanya .. Emanglebih penting adab drpada ilmu,Advocacy,
"Miris melihat situasinya. Mohon para pihak turunkan emosinya. Jika masih bisa dibina, kenapa harus dibinasakan.",VictimBlaming,
Orang tua terpandang dan banyak uang anaknya jadi raja di kampus UI,Neutral,
"tapi sayang ya kak, harusnya tempat buat bertumbuh bikin rasa nyaman, tapi malah dirusak sama manusia berhati iblis",Supportive,
"Kalo korban malah di salah kan, maka g heran di masyarakat sekarang hal serupa beredar. Orang akademisi hukum nya aja kek gini. Sekelas UI pula lagi.",Supportive,
pembicaraan tntabg pelecehan ka katanya,Neutral,
belajar hukum apa mesum neh,Neutral,
"Menurut aku ya justru kalau mereka tidak DO maka pdgn org ke kampus tersbt kurg baik karna tidak bisa TEGAS dgn HAL HAL seperti ini, bisa saja hal ini terulang kembali, kalaupun akreditasi turun setidknya calon mahasiswa atau mahasiwa yg semntra kuliah bisa merasa AMAN itu bukti kampus trsbt bisa mengambil keputuan yg SEADIL ADILNYA",Advocacy,
"Hasil didikan TERBAIK dari tenaga PENDIDIK TERBAIK d INDONESIA,(calon PEJABAT MASA DEPAN)menuju indonesia EMAS 2045,BRAVO  INDONESIA",Neutral,
Ayoo kuliah di PTKIN supaya mendapatkan pendidikan Akhlak ❤️,Neutral,
"A'uudzu billaahi minasy syaithonir rojiim..
Selalulah..berlindung kpada Allaah dari upaya setan menjerumuskan manusia..😊",Neutral,
Unima seharusnya bikin forum ginii🥹,Neutral,
aamiin ya Allah yarabb,Neutral,
hah?periksa mata deh,Neutral,
pendidikan tidak menentukan pola pikir manusia.,Neutral,
"@s: tp bikin mereka sadar bahwa perlakuan mereka bisa bikin populasi marah :( mungkin stop nyalahin reaksi orang dan salahin pelaku nya aja.. gapapa marah, dengan marah kita jadi stay true to our emotion",Supportive,
kakk sama lagi😭,Neutral,
"Begini mau menjadi praktisi hukum? Makin hancur ini negara, do kan sj mereka",Advocacy,
"Aamiin, semangat kak!!!",Neutral,
"jangn takut syangg,laporkan bila ada yg seperti itu",Supportive,
pulang lu dicariin isal 😭😭,Neutral,
Kata dosen nya gabisa sembarangan do kak. ak nonton live nya jam 2 pagi,Neutral,
Fakultas hukum UI lagi .kendatipun bersifat guyonan tetapi kalau sudah sampai ke mesum itu sudah tidak pantas .dan harus di DO dan harus mempertanggungjawabkan didepan hukum pengadilan negeri,Advocacy,
amin kak doa terbaik yaaa🥰,Supportive,
jadi mereka bikin group chat khusus buat pelecehan gitu kah?,Neutral,
Di DO aja sbg hukuman bagi mrk.. masih banyak mahasiswa2 lain yg lbh baik pastinya dan LBH ber adab,Advocacy,
"Orang melanggar hukum dimintain maaf ,fasal berapa itu.",Neutral,
Pendidikannya tinggi tapi adabnya sangat rendah.,Neutral,
SEMOGAA LANCARR YAA KKAAAA 😻,Neutral,
Itu yg kalian banggakan UI....kalau koa2 mengkritik kaya Iya aja....nyata nya parah...,Neutral,
"Lu cari tau dulu masalahnya, kalo udah tau semua dan lu masih nanya salahnya dimana then I don't need to explain more, it'll be a waste of time to",Supportive,
"@Nab Nab:@icach4_111: itu mrk ada grub mlchkan mahasiswa ui yg pdhal mrk juga mhsiswa disitu, mrk bilng mrka punya kuasa di kmpus itu bhkan bukan mhsiswa aja yg mrk bhs di grup itu ada dosennya juga, bnr bnr sakit dh",Supportive,
"parahnya lagi di 2026 aja FHUI ini udah keseret 3 kasus. 2 kasus dari alumni, dan 1 kasus ini. harus audit besar2an sih",Advocacy,
uda gtu pake ktwa sgla lg,Supportive,
"katanya besok datang lagi untuk finalisasi kak semoga berhasil ya kak doain lagi ya kak, semuanya juga terima kasih banget doanya ya 🙏🙏🙏",Neutral,
kekerasan seksual alias pelecehan,Neutral,
saya sebagai dosen UI kecewa,Neutral,
"Nggak ada demo sepi 
Akhirnya ketahuan busuk nya
Mana yg biasanya teriak atas nama Rakyat...
Akhirnya Tuhan menunjukkan
Kebusukan mereka.
Kampus harusnya malu dan mundur merasa gagal mendidik mahasiswa nya.",Advocacy,
knp korban ga lapor polisi,Neutral,
"apalah dikit2 dilihat muka Mulu, aneh",Neutral,
"stres,dia aja blunder kakk di x",Neutral,
"kyanya emng baru rame lgi,ini jga baru tau dri ig",Neutral,
mereka datang aja harus di nego dulu😂,Supportive,
"aku gak sekolah tapi tau adab
bang",Neutral,
untung aku di UT🥰,Neutral,
"Iya sih kalo diliat2 hal spt ini mmg kan sejak dlu dilakukan laki2 PD umumnya. Ngmgin cewek seksi dsb. Bedanya dulu kan ngmg secara lgsg wkt kongkow2, klo ini kan lewat chat jadi ada bukti. Dan grup ini sbnrnya hanya kalangan sendiri ibaratnya grup ghibah. Bukan grup besar yg isinya umum. Maklum lah, ini baru laki2 normal. Justru yg waspada yg gak ngmgin lawan jenis . Bahaya. Berlebihan klo menurutku",VictimBlaming,
Skrg kan UI banyak yg masuk pake uang doank.,Neutral,
"Mereka yang ingin masuk fakultas hukum kedepan wajib di saring suler ketat , kalau perlu sedari bayi sudah disiapkan agar hukum benar benar jadi panglima di negeri kita .",Advocacy,
Ya semuanya harus diungkap baik korban maupun tersangka,Neutral,
Keluarkan merrka semua yang terlibat,Advocacy,
kenapa nyariin korban lis?,Neutral,
PECAT SEGERA,Advocacy,
Tobrut lagi cari keadilan itu pakaian lu juga harusnya di jaga lah bosku😂,VictimBlaming,
"Gilaaaa mahasiswa seperti ini akhlaknya, ancur negara, parah banget mah ini",Supportive,
ini lo beneran ikutin kasusnya gak sih? apa kita ngikutin kasus yang berbeda? 😅,Neutral,
"gak lulus tepat waktu dari ui, yutub gua dianggep remeh sama tv~",Neutral,
GUA SAYANG BANGET SAMA DIKIDOY DAN STELLA COKKKKK😭😭,Neutral,
serius maaf doang?,Supportive,
"Mahasiswi/perempuan manapun serta ibu2 yg jdi korban kejahatan ,pelecehan wajib beranikan bongkar para pelaku .....jangan kalah dengan para pejabat yg dgn bangga korupsi uang negara/uang rakyat 👍👍",Supportive,
"nihh kevin, ekspresinya kaya gada rasa bersalah bgt pas minta maaf",Supportive,
ya Alloh ngeri yah???semoga anak dan keluargaku di jauhkan dari hal hal buruk😭😭😭,Neutral,
pentingnya ngasih makan anak dengan uang halal.,Neutral,
dunia ini terlalu banyak laki laki dibanding pria,Neutral,
"baca dulu komen gue yg lain, baru boleh komenin gue",Neutral,
@rage gakuattt,Neutral,
Tolong DO dan blacklist dari seluruh universitas di indonesia😊,Advocacy,
​@juvechelsea1601  ada 16 orang disidang karena melakukan pelecehan secara verbal di group chat,Neutral,
"maaf tpi lucu bgttt, buru' spy bisa ikut ngatain😭",Neutral,
ya ngakalin HUKUM lah🤣🤣🤣,Neutral,
orang tua korban kan mkstnya??,Neutral,
"pelaku di minta ngomong, pas ngomong disorakin, diteriakin. jd bingung mau denger yg mana. 😭 sayang waktunya.",Neutral,
"Emang hrs di DO sih soalnya klo nggak, tau² ada yg ngracun mereka di kampus 😅 Ingat, sakit hati seseorang bisa memicu perbuatan yg nekat.",Advocacy,
"Susah2masuk PTN....kok jadi kaya gitu doang...mending kasih kesempatan tuh buat anak2 yg beneran serius mau sekolah, jauh dari pergaulan jorok",Neutral,
"justru itu dia ngerasa aman karena ada kuasa di hukum , jadi bebas mau ngelakuin hal"" melnceng , menurut gua gitu karena kebanyakan elite""/pemegang hukum yg sllu ngelakuin hal"" kaya gitu",Advocacy,
Ternyata berpendidikan tinggi ngga menjamin attitude dan pola pikir yang baik,Neutral,
"Ya Allah lindungilah Anak2 ku, Aamiin",Neutral,
"mereka buat grup chat buat ngomongin badan perempuan, ngomongin pelecehan yg mereka lakuin ke perempuan juga, isi pembicaraannya bahkan ada dosen juga dan teman terdekat pelaku",Neutral,
Zoom call live ? Lah bagaimana siy? Harusnya kan cuma ngomongin di belakang kalo mau ng... JD pas zoom call banyak orang dong yg liat... Kirain cuma 16 orang aja..tp ini masih belum jelas kronologinya... Kutunggu sampe clear,Neutral,
Akibat dari mata pelajaran P4 dihapus DARI mata pelajaran di sekolah MAUPUN Mahasiswa rusaknya MORAL BANGSA INDONESIA KEDEPAN akibat REZIM JOKOWI menghapusnya..,Neutral,
"Kuliah di Fak.Hukum di perguruan tinggi papan atas dinegri ini, tapi kelakuannya memalukan....
Ingat ortu kalian akan malu seumur hidup",Supportive,
@diggiedaw @:b @Σ(￣□￣,Neutral,Neutral
Trs yg dilecehkan siapa iiniii...bukan Ryan kan😂😂❤,Neutral,
"pendidikan sama adab harus beriringan, jangan cuma mengedepankan salah satunya",Neutral,
"Predator sudah masuk ke kampus yg katanya terbaik di Indonesia, ironisnya dari fakultas hukum yg seharusnya mahasiswa-mahasiswa itu sangat paham dan patuh dg hukum. Semoga UI bersikap tegas utk memecat para pelaku dan juga memprosesnya secara hukum.",Advocacy,
pelaku nya?,Neutral,
"Miris.... UI kampus ternama tercemar dgn nama 16 org pelaku, merasa anak pejabat dan kebal hukum",Supportive,
abt sx intiny,Neutral,
ga ada muka bersalahnya anjiiir,Supportive,
"sick bgt sumpah, bukan mahasiswi dan dosen doang, bahkan sampai keluarga mereka sndiri🥀",Supportive,
"Harus diusir dari Fakultas Hukum, dan terlarang masuk fakultas hukum universitas manapuni secara nasional. Bayangin klo belajar Hukum malah doyan melanggar Hukum, mau jadi apa mereka?",Advocacy,
YANG BEGINI MAU JADI AHLI HUKUM ???!!!! DO !!!!!!,Advocacy,
"Memalukan  Mudah2 an  di keluarkan  semua  mahasiswa yg terlibat ,Aamin",Advocacy,
Gagal kuliahnya dong.,Neutral,
pindah haluan aja Bu ke Undip,Neutral,
"tongkrongan cowok bukannya rata rata gitu ya, kadang ngomongin yang gak jauh jauh dari itu memang, mungkin ini bedanya di chat aja",VictimBlaming,
"dikidoy respect gw sama dia, sampe aslam tapi tetap lanjut live",Neutral,
se ga aman itu kah wanita dimana pun🥺,Supportive,
Ini apa guys? Program dari kuliahnya kah?,Neutral,
"Maksud.a down fall twh apa yaa??
Kok bsa semarah itu??",Neutral,
"itu baru yg ketahuan, bayangin kalo masih ada, cuman ga ketahuan aja + ga buat grup",Supportive,
Knpe ini gue ketinggalan berita,Neutral,
"tmnnya sendiri btw, ada di grup jg",Neutral,
"Gw bru tau hr ini brtita ini, awal mula nya gmn sih please gw jd bingung dgrnya 😢",Neutral,
"INILAH CALON PEMIMPIN JAHAD MASA DEPAN BANGSA 

LANJUTKAN 🎉🎉

MUSIBAH NEGRI KITA INI 🇮🇩",Supportive,
temen nya nihhh curiga,Neutral,
yg waras dikit,Supportive,
gue Kayak Pernah Nonton Film Si Jefri Nicol Dah Sama Percis Kayak cerita Ini,Neutral,
"Mahasiswa FH dan belajar hukum, tapi main hakim sendiri.",Supportive,
"😭 Mula mula aku tak faham kes nii, hah lama lama dah fahamm😭💔💔💔 sedih laaa weiii dorang belajar undang ii kott😭💔",Neutral,
judul nya apa kakk,Neutral,
"@finda:mereka msh di bawah naungan ui fakultas hukum, calon lawyer indo makanya hal buruk dikit aja bocor pasti heboh, karna bisa bikin jelek nama fakultas dan univ",Neutral,
ini live jam berapa sih,Neutral,
jam 3 gua nonton gua pikir pada ngapain ini kok sekolah jam segini tapi mata gua dah sepet dan gua molor eh bangun liat berita gini rame bgt,Neutral,
"Cuma dipertontonkan, gak di DO? 😂",Advocacy,
"banyak, mending salahin pelaku gak usah nyari korban",Supportive,
justru mereka belajar hukum biar bisa cari2 celah dalam hukum wkwkw,Supportive,
Pinter tapi ga beradab,Supportive,
Yang menghakimi justru terlihat arogan dan merasa suci... Itu aja pendapat saya melihat situasinya...,VictimBlaming,
"Gak ada point ? Nih gua kasih tau, point yg dia bilang : SEBAGAI FAKULTAS HUKUM TERBAIK DI INDONESIA, UI HARUS BERTINDAK DENGAN BENAR ATAS KASUS INI KARENA PASTI ADA TEKANAN DARI ORG TUA MURID YG DIMANA ORG TUA MURID ITU “ORG PENTING/PEJABAT” KALO SAMPE UI TIDAK MENGAMBIL LANGKAH PENYELESAIAN YANG TEPAT BERARTI ADA YANG SALAH DENGAN HUKUM DI INDONESIA. SECARA FAKULTAS HUKUM TERBAIKNYA TIDAK MEMBERLAKUKAN HUKUM DENGAN BENAR, ADIL DAN TRANSPARAN. Masa gitu aja lu ga ngerti?",Advocacy,
Mana sama lagi,Neutral,
Mungkin minta di puji tp dalam hati😂,Neutral,
Ngomg apa si😮. Ma saya g dgr dan g ngerti😊,Neutral,
Tau kan salah satu gubes nya..... Si paling toleransi😂😂😂😂,Neutral,
untuk abang ini keren banget makasih sudah membela wanita🥺,Supportive,
iya ka aku juga nonton sampe aku rela ga tidur padahal besok sekolah,Neutral,
